perm1__real0,perm1__real1,perm1__real2
-0.466878,-0.924754,0.157369
-0.134593,-1.13026,-0.0508365
-0.204241,-1.08978,0.110398
0.0360864,-0.893281,-0.0442465
0.120109,-0.920721,0.00381086
0.0619366,-0.885662,0.0578714
0.292167,-0.745566,-0.00257472
0.190848,-0.820411,0.127976
0.0208297,-0.625633,-0.434079
-0.165777,-0.532351,-0.262734
-0.226773,-0.613703,-0.0410724
-0.211708,-0.656173,-0.103043
-0.228117,-0.384492,-0.362717
-0.407161,-0.345511,-0.280331
-0.629826,-0.295991,-0.306266
-0.643897,-0.106798,0.0238219
-0.78756,-0.167031,-0.0710976
-0.633501,-0.0930764,-0.216172
-0.714076,-0.350212,-0.0741017
-0.732573,0.11948,-0.241231
-0.954555,0.154013,-0.168827
-0.715256,0.169115,-0.0662501
-0.862247,-0.0638877,-0.237296
-1.18786,0.125262,0.193916
-0.748476,0.139464,0.109352
-0.455578,0.174433,-0.00932308
-0.49158,0.201342,0.171671
-0.229178,0.305865,-0.166366
-0.328989,0.200969,-0.203834
-0.467218,0.0754737,-0.380813
-0.630872,-0.207267,-0.141771
-0.547351,-0.360337,0.0722568
-0.938612,-0.472027,-0.28601
-0.89624,-0.303913,-0.579836
-1.02661,-0.332507,-0.705364
-1.26562,-0.366269,-0.968274
-1.25794,-0.292522,-0.9264
-1.1238,-0.0240552,-0.687759
-0.913966,0.0143596,-0.689033
-0.614659,-0.130385,-0.429972
-0.716309,0.314698,-0.402605
-0.666186,-0.00654696,-0.302609
-0.356254,0.171337,-0.218411
-0.0635604,0.214941,-0.0905506
-0.214141,0.23278,0.0758554
-0.165316,-0.0814222,-0.103225
-0.077101,0.0296206,-0.107939
-0.259247,0.180884,-0.257045
-0.18571,0.0897333,-0.275691
-0.494899,-0.00690972,-0.66906
-0.60384,0.00752998,-0.378664
-0.616534,0.220566,-0.305655
-0.309818,0.243934,-0.31223
-0.144352,0.51989,-0.0142305
0.0642045,0.433618,0.148072
0.300786,0.408489,0.348587
0.418122,0.303532,0.25688
0.342682,0.349428,0.197678
0.190311,0.0451944,-0.0712542
-0.146028,-0.456364,0.207568
-0.264277,-0.0123135,0.488858
-0.0786355,-0.291062,0.305025
-0.0535572,-0.417122,0.273527
-0.513942,-0.580055,0.418406
-0.439787,-0.135887,0.174821
-0.376444,-0.427755,0.0313855
-0.223635,0.0394972,0.279352
0.0890636,-0.276221,0.144956
0.476438,-0.331265,0.429141
0.16452,-0.481216,0.45076
0.0993017,-0.141651,0.392302
0.499595,-0.453209,0.42508
0.426604,-0.54569,0.181188
0.555351,-0.699484,0.104202
0.514503,-0.66932,0.151017
0.456939,-0.486042,0.272458
0.286944,-0.680606,0.304092
-0.151262,-0.5548,0.63404
0.729101,0.767435,0.617584
0.635773,1.01417,0.714743
0.465023,0.993304,0.640823
0.222394,1.32007,0.655035
0.368656,0.910556,0.688712
0.454293,0.834717,0.679643
0.399046,1.09179,0.332007
0.0956489,0.904222,0.499346
-0.247947,0.427701,0.273826
-0.160113,0.877077,0.6201
-0.164636,0.805733,0.265727
-0.380558,0.820544,0.172273
-0.117028,0.810418,0.17375
-0.065004,0.473584,0.0682134
-0.0383801,0.492497,0.119521
-0.0625288,0.244415,-0.140744
0.236634,0.177959,0.280228
0.290939,0.0885564,-0.0530418
0.482036,-0.0748814,-0.242936
0.62428,-0.113325,-0.0744815
0.391341,0.0252749,-0.0913799
0.346764,0.0132291,-0.207989
0.560704,0.135809,-0.25919
0.551915,-0.1661,-0.150657
0.479359,0.31123,-0.423687
0.53404,0.0629729,-0.163976
0.413812,0.402626,-0.185811
0.37567,0.302007,-0.0939819
0.256783,0.563371,-0.416913
0.329858,0.352093,-0.232572
0.355089,0.102029,-0.190475
0.563547,0.0804663,-0.0927918
0.705432,-0.143046,-0.588754
0.710258,0.0341319,-0.482165
0.840466,0.13895,-0.303224
1.31563,0.380226,-0.363559
1.15201,0.389413,-0.885075
1.29518,0.10496,-0.67456
1.12932,0.218227,-0.781749
1.26079,0.0327002,-0.508842
1.08165,0.101236,-0.236388
1.11584,0.238262,-0.104616
1.31304,-0.404867,-0.0106891
1.23182,0.0384355,-0.110438
1.25687,0.0413743,0.143988
1.22198,0.0283602,0.256207
0.71599,-0.152742,0.272974
0.550711,0.111897,0.35811
0.224635,0.123138,0.221131
-0.0325,0.132834,0.193382
0.234562,0.178097,0.498916
0.205673,0.387123,0.30093
0.31386,0.278207,0.20542
0.605417,0.335833,0.424884
0.432639,0.302964,0.30745
0.39168,0.153913,0.324535
0.369478,0.565177,0.771718
0.0775259,0.471846,1.04628
0.288016,0.18046,0.677371
0.0771362,0.298486,0.698083
0.0396631,0.361772,0.727641
-0.0690149,0.521597,0.549188
-0.0994129,0.470906,0.743745
0.00611885,0.374864,0.693263
0.0613651,0.166459,0.605188
0.207406,0.224823,0.862082
0.0330603,-0.236222,1.16455
0.221799,-0.0917616,1.04573
0.414357,-0.0222996,0.919303
0.313413,0.227879,0.92514
0.396155,0.146233,0.864666
0.649071,-0.260216,0.87465
0.336613,-0.0226116,0.609194
0.0106979,-0.0124688,0.898497
0.128622,0.0918676,0.740243
-0.00471728,0.324155,0.777436
-0.0831689,0.928195,0.516092
0.290427,0.695501,0.406879
-0.0935427,0.986813,0.183666
-0.31899,0.943097,0.347441
0.0397759,0.839628,-0.0637045
0.336926,1.01512,-0.215753
0.397259,0.806583,0.0361616
0.412691,0.75846,0.159514
0.223904,0.690651,0.233698
0.571425,0.606979,0.43881
0.805027,0.761252,0.304379
0.478304,0.724535,0.404939
0.150323,0.602552,0.137817
0.240542,0.107926,0.389864
0.321664,0.586802,0.337142
0.246171,0.347134,0.281484
0.212974,0.306213,0.32487
0.227965,0.663344,0.0892436
0.233507,0.16458,0.104192
0.360351,0.406915,0.362378
0.28222,0.310335,0.66113
0.546538,0.271748,0.876786
0.436012,0.167835,0.959744
0.356611,-0.0420815,0.661502
0.422747,0.0290543,0.840163
0.552446,-0.374973,0.77076
0.481245,-0.423665,0.64784
0.546387,-0.592319,0.625184
0.360921,-0.714223,0.680792
0.063453,-0.519124,0.752746
0.290589,-0.505983,0.84834
0.0438887,-0.633148,1.00121
-0.10567,-0.943396,0.742345
-0.302104,-0.553151,0.679039
-0.488267,-0.136912,0.758176
-0.256768,-0.484325,0.719721
0.00731122,-0.81865,0.629339
0.00291603,-0.7034,0.257469
-0.107089,-0.738531,0.434357
-0.372526,-0.5904,0.478763
0.03989,-0.38707,0.2796
0.0317263,-0.0263265,0.381793
0.181378,-0.277075,0.639904
0.166329,-0.502609,0.76307
0.106441,-0.394478,0.555442
0.133159,-0.315722,0.683912
-0.0562684,-0.0651383,0.603255
0.184925,-0.11767,0.698642
0.0778706,-0.0189032,0.49191
0.00066629,-0.209274,0.631459
7.92783e-005,-0.311294,0.948113
0.12141,-0.14889,0.737015
0.595013,-0.319613,0.828718
0.626962,-0.0651332,0.524435
0.374563,-0.320045,0.394804
0.115373,-0.228296,0.592668
0.0225774,-0.134069,0.368738
-0.105406,-0.3233,0.351539
-0.161741,-0.0304859,0.680119
-0.14742,-0.03209,0.885314
-0.332078,0.0973416,0.757569
-0.531519,-0.0432495,0.72689
-0.581364,-0.281429,1.01955
-0.443904,-0.105251,1.08738
-0.0717348,-0.20178,0.768124
0.366187,0.0739131,1.0995
0.469188,-0.0815764,1.30368
0.0084634,-0.0225165,1.19159
0.0732768,0.328919,0.935955
0.0218605,-0.0760081,0.772928
0.0591175,-0.134851,0.686964
0.113688,-0.169253,0.990167
-0.201284,-0.13453,0.607042
0.0924726,-0.0262299,0.702386
0.0726012,-0.122895,0.472852
-0.144102,-0.396734,0.369888
-0.328421,-0.15333,0.156248
-0.332937,-0.0981206,0.390163
-0.118208,-0.339872,0.221391
-0.509932,-0.168217,-0.0655975
-0.139937,-0.351324,-0.200845
-0.11479,-0.22841,-0.112043
-0.299138,-0.022499,-0.203947
-0.561647,0.22192,-0.443981
-0.514167,0.209896,-0.645019
-0.451786,0.0753611,-0.454649
-0.518965,-0.241889,-0.345577
-0.396336,-0.233331,-0.713299
-0.787501,-0.423232,-0.429154
-0.724899,-0.357514,-0.260642
-1.09483,-0.0297573,-0.331287
-0.872354,-0.101859,0.0218493
-0.597934,-0.180517,-0.139326
-0.813004,-0.586262,-0.284355
-0.9907,-0.498925,-0.42348
-1.06745,-0.525662,-0.3815
-1.38758,-0.56528,-0.270989
-0.911444,-0.483648,-0.0645022
-0.810012,-0.775781,0.0975358
-0.691141,-0.679625,0.135965
-0.303263,-0.877775,-0.0402682
-0.462729,-1.21746,0.150284
-0.718326,-1.06387,0.151822
-0.409226,-0.880393,0.165035
-0.472245,-1.16817,0.114392
-0.266077,-1.22337,0.0305385
-0.33213,-1.23269,0.0100311
0.0516841,-0.855453,-0.203611
0.163646,-0.83629,-0.0738628
0.339901,-0.909489,-0.363704
0.128224,-0.777606,-0.229682
0.113065,-0.67569,-0.160135
0.029171,-0.774731,-0.037843
-0.174298,-0.879405,-0.0306577
-0.0384806,-0.677105,-0.19129
-0.241223,-0.441457,-0.132829
-0.302383,-0.206698,-0.0688158
-0.595547,0.00979244,-0.0310688
-0.41384,-0.140055,-0.0373849
-0.635637,0.0598653,0.23652
-0.294947,-0.216896,-0.403411
-0.399568,0.138287,-0.343114
-0.864469,0.0699703,-0.424197
-0.603705,-0.112014,-0.50668
-0.748415,-0.192742,-0.571975
-0.833355,0.104645,-0.272925
-0.840405,0.240699,-0.133113
-0.725367,0.342951,-0.0335945
-0.501919,0.103831,-0.276747
-0.417693,0.420823,-0.306162
-0.556067,-0.405793,-0.369225
-0.462606,-0.192973,-0.407148
-0.576725,-0.225264,-0.26867
-0.624856,-0.158565,-0.000165336
-0.74782,-0.35242,-0.0983558
-0.788836,-0.593504,-0.157711
-1.1319,-0.224365,-0.500017
-1.07433,-0.10798,-0.544579
-1.19335,-0.113895,-0.626814
-1.26687,-0.294365,-0.761086
-0.915525,-0.139624,-0.562564
-0.816897,0.0935451,-0.555622
-0.681473,0.0761367,-0.381313
-0.432778,0.318154,-0.107689
-0.605549,0.304434,-0.22316
-0.120608,0.422464,-0.166404
-0.204689,0.114966,-0.255162
-0.343569,0.100776,-0.270983
-0.345781,-0.241911,-0.208975
-0.159489,0.0999111,-0.303488
-0.249631,0.0246978,-0.661577
-0.392539,-0.141023,-0.46839
-0.620383,-0.0236994,-0.32856
-0.322413,0.213477,-0.576307
-0.0988768,0.300652,-0.330608
-0.194689,0.617687,-0.0773798
-0.180339,0.688954,0.153175
-0.0425803,0.0837628,0.0566056
0.478398,0.0297484,0.414527
0.126942,0.0320283,0.132451
0.120242,-0.206576,0.330183
0.0220572,-0.344241,0.0951126
0.0842577,-0.0989377,0.122071
-0.0449551,-0.130518,0.226388
-0.195314,-0.55395,0.22428
-0.500843,-0.125903,0.625535
-0.596531,-0.290975,0.395567
-0.051391,-0.0701369,-0.0451634
-0.403084,-0.314142,-0.0486152
-0.135311,-0.291177,0.254691
-0.051295,-0.446474,0.490041
0.370473,-0.358112,0.448415
-0.0065484,-0.318044,0.470317
0.194276,-0.490533,0.406921
0.238898,-0.328912,0.503224
0.405755,-0.611586,0.364171
0.514189,-0.688051,0.1357
0.314131,-0.72888,0.23636
0.344109,-0.7245,0.220434
0.463979,-0.556099,0.465307
0.711864,0.938746,0.373428
0.680577,0.920221,0.705053
0.123501,0.872132,0.845531
0.0752744,1.11559,0.643798
-0.013288,0.620596,0.839957
0.423759,0.859441,0.364867
0.331381,0.752082,0.873275
0.190786,0.684593,0.539559
-0.0204498,0.854947,0.638557
-0.643,0.828557,0.601705
-0.458766,0.742773,0.064252
-0.429437,0.735084,0.220537
-0.427008,0.778845,0.0336498
-0.0954369,0.490796,0.016673
-0.0634073,0.228864,0.232774
0.0123953,0.318582,0.139937
-0.0315807,0.401652,0.0848784
0.0264669,0.189804,0.0745409
0.450137,0.361413,-0.0415945
0.490899,-0.0271864,-0.161335
0.377278,-0.155319,0.0638194
0.659813,0.359838,-0.298484
0.587169,0.293064,0.145616
0.706094,0.0620143,-0.256469
0.489714,0.109882,-0.161126
0.377763,0.438897,-0.103301
0.353447,0.366277,-0.23332
0.241396,0.608439,0.00895605
0.449864,0.330008,-0.394221
0.256262,0.103277,-0.0574997
0.498172,0.131319,-0.406928
0.425808,0.167972,-0.216881
0.66448,0.0455024,-0.230379
0.784931,-0.0609689,-0.336161
0.666989,0.419663,-0.245355
1.0373,0.218524,-0.424774
1.00429,0.210435,-0.418403
1.03878,0.266976,-0.431765
0.871166,0.304357,-0.263398
0.869801,0.504407,-0.501894
1.17403,0.322546,-0.371851
0.891519,0.119766,-0.102738
1.18451,0.153184,-0.146645
1.33707,-0.0762509,0.359005
1.08951,-0.183008,-0.0437808
1.20556,-0.0320414,0.170105
1.08198,-0.00165269,0.222658
0.791551,0.0377858,0.0808928
0.300914,-0.0180392,0.426152
0.165857,0.0562906,0.309692
-0.0489131,-0.061393,0.424927
0.077474,0.0326313,0.544213
0.166009,0.223782,0.504724
0.533025,0.0739602,0.33235
0.533313,0.308193,0.755226
0.530476,0.184071,0.611597
0.208105,0.581291,0.413219
0.41712,0.459554,0.687669
0.419206,0.555314,0.659064
0.274433,0.491021,0.978553
-0.154336,0.162566,1.21391
-0.422974,0.246417,1.02508
-0.362383,0.411873,0.891943
0.0579642,0.463862,1.01121
0.132939,0.233792,0.785205
0.374216,0.462778,0.872751
-0.0711494,0.209404,0.892714
0.0858766,0.146208,0.876851
0.0985687,0.10035,0.80353
0.315144,-0.0490527,0.816721
0.329377,0.193549,0.781836
0.324216,0.353687,0.654761
0.343108,0.181004,0.877601
0.348556,-0.0871294,0.613142
0.156699,-0.0437505,0.756721
0.462571,0.26875,0.645064
0.1025,0.181661,0.438002
0.00900335,0.626095,0.364143
0.131134,0.999151,-0.0277931
0.146127,0.710585,0.343452
0.137195,0.887759,0.293092
0.451547,0.814,0.175123
0.371555,0.6421,0.331436
0.428082,0.637545,-0.0577027
0.729985,0.284465,0.316081
0.530334,0.699267,0.331735
0.681471,0.332952,0.173892
0.796513,0.508458,0.344902
0.531295,0.498662,0.0504266
0.304982,0.464512,0.158656
0.433196,0.695196,0.243463
0.262132,0.571864,0.480827
0.0777633,0.420854,0.0931716
0.267258,0.494733,0.27478
0.17948,0.197133,0.39904
0.297892,0.46774,0.434345
0.433705,0.0591634,0.618145
0.514699,0.025998,0.692064
0.608184,0.0420473,0.811299
0.387145,0.167345,0.581757
0.348468,0.148529,0.426262
0.485013,0.194552,0.998502
0.68957,-0.506616,0.878768
0.322245,-0.378294,0.852843
0.279535,-0.644545,0.595473
0.306015,-0.650995,0.540394
0.317221,-0.419803,0.738125
0.176055,-0.584243,0.722205
-0.030457,-0.821187,0.878954
-0.210092,-0.463718,0.621138
-0.461302,-0.326283,0.451944
-0.454931,-0.432461,0.679035
-0.268445,-0.583491,0.840503
-0.0704055,-0.490268,0.532518
0.015119,-0.610384,0.488726
0.0186795,-0.540824,0.344444
-0.0856834,-0.562278,0.319056
0.112798,-0.29996,0.288207
0.116434,-0.0858536,0.432877
0.253239,-0.151509,0.75861
0.256674,-0.37361,1.0774
0.124155,-0.277041,0.88115
0.221185,-0.644633,0.464218
0.147612,-0.442346,0.572978
-0.0904245,-0.139034,0.402257
-0.0709155,-0.109768,0.547565
0.133867,-0.0689477,0.644733
-0.155713,-0.441343,0.900113
0.0569877,-0.211646,0.685952
0.518033,-0.0924339,0.62059
0.155056,-0.33368,0.367531
0.133416,-0.388221,0.409324
0.236956,-0.18366,0.442723
0.226369,-0.275371,0.776554
-0.0895641,-0.213098,0.569405
-0.20638,-0.197922,0.745275
-0.42982,0.0486085,0.779082
-0.231602,-0.236959,0.754498
-0.518217,-0.0102641,1.22292
-0.458358,-0.157841,1.0234
-0.449814,0.189575,0.835573
-0.0837816,0.00856563,0.935825
0.052748,0.124447,1.32028
0.0698381,-0.167153,1.38978
-0.0731829,0.0245915,1.13484
-0.18564,0.16898,1.02318
-0.119184,0.0821675,0.755445
0.218308,-0.0833267,0.840359
0.235317,-0.265567,0.735357
0.210161,-0.234573,0.861297
-0.0225643,-0.164663,0.311271
-0.0553554,-0.00435163,0.448312
-0.158707,-0.260772,0.176721
-0.179116,-0.00603756,0.21345
0.116208,0.0305941,0.20063
-0.130577,-0.229591,0.120953
-0.273823,-0.332844,0.176915
-0.276822,-0.210938,0.0619103
-0.451249,-0.110033,0.242302
-0.411082,-0.166348,-0.296926
-0.846937,0.0510551,-0.178841
-0.891667,-0.0470528,-0.309732
-0.564652,-0.144795,-0.440973
-0.560536,-0.214257,-0.482463
-0.539718,-0.237856,-0.534743
-0.600618,-0.384267,-0.645138
-0.601854,-0.0626992,-0.626062
-0.686687,-0.453165,-0.222995
-0.653511,-0.153085,-0.130145
-0.510639,-0.437091,-0.161515
-0.999008,-0.556763,-0.465014
-1.13658,-0.548192,-0.370308
-1.03992,-0.718746,-0.255845
-0.962078,-0.679075,-0.148613
-0.313069,-0.536121,-0.0629991
-0.297318,-0.342694,-0.0908621
-0.479595,-0.689341,-0.0497304
-0.489328,-0.85829,0.16843
-0.782036,-1.28286,0.037767
-0.801519,-1.21,0.275281
-0.55717,-1.34624,0.00807719
-0.545775,-1.2479,0.259678
-0.49319,-1.21383,-0.0794829
-0.126592,-0.973986,-0.191586
-0.193486,-0.901711,-0.163782
0.0484117,-0.801831,-0.0354404
0.454773,-0.840821,-0.0906996
0.23379,-0.959876,-0.423115
-0.167015,-0.6492,0.00770082
-0.0491546,-0.759265,-0.0680499
-0.438681,-1.07122,-0.469219
-0.104834,-0.635148,-0.26172
-0.107194,-0.203968,-0.133228
-0.203624,-0.0410889,-0.181679
-0.173054,0.138172,-0.250198
-0.195589,-0.159355,0.206643
-0.46332,0.123043,-0.218365
-0.514705,0.267324,-0.199599
-0.269603,0.1394,-0.610244
-0.585865,0.089027,-0.446285
-0.203004,0.0671875,-0.553287
-0.931002,0.00957777,-0.75154
-1.16705,0.233978,-0.378737
-0.812307,0.115275,-0.206915
-0.513928,0.335963,-0.215814
-0.367733,0.0437808,-0.22721
-0.340276,-0.287067,-0.402909
-0.410162,-0.526045,-0.251761
-0.776389,-0.314059,-0.432156
-0.827042,-0.333752,-0.358083
-0.747589,-0.328707,-0.185759
-0.91289,-0.174801,-0.345089
-1.11609,-0.274537,-0.379937
-1.21223,-0.497836,-0.926752
-1.10209,-0.1939,-0.697437
-1.4116,0.129693,-0.407997
-1.11145,0.046106,-0.441256
-0.840469,-0.298795,-0.610026
-0.715863,-0.0631578,-0.404494
-0.628097,0.0635012,-0.469343
-0.669723,0.421907,-0.361447
-0.708888,0.350049,-0.422471
-0.177819,0.310787,-0.370958
-0.334914,0.12663,-0.238409
-0.312555,0.0399412,-0.170922
-0.261406,-0.0160998,-0.311977
-0.327439,0.0667296,-0.236115
-0.652845,0.17771,-0.453591
-0.80135,-0.000669628,-0.697218
-0.620583,-0.00955154,-0.42665
-0.616415,0.0940086,-0.276871
-0.286782,0.305691,-0.566639
0.0708733,0.170849,-0.0449839
0.191841,0.433174,0.0606175
0.151531,0.386277,0.111104
0.22513,0.281255,-0.0519106
0.125753,0.26467,0.0120688
-0.144141,-0.317663,0.20976
0.135295,-0.0542186,0.0632816
0.0575908,-0.0196716,-0.032913
-0.197789,-0.492048,0.210375
-0.185912,-0.524169,0.612293
-0.149417,-0.20454,0.445689
-0.114135,-0.166279,0.262638
-0.325686,-0.238069,0.0807344
-0.235163,-0.313677,0.321893
0.0493886,-0.404589,0.16507
-0.0302116,-0.39171,0.361023
0.00690018,-0.31848,0.526704
0.137929,-0.557832,0.637702
0.255909,-0.414258,0.239437
0.299144,-0.636614,0.457031
0.326204,-0.895934,0.0533062
0.659852,-0.836396,0.0272918
0.214142,-0.830265,0.361952
0.285737,-0.791906,0.171482
0.814861,0.738087,0.669534
0.881799,0.991791,0.828832
0.527707,0.769312,0.856402
0.335359,0.594375,0.715919
0.102338,0.937407,0.551894
0.237738,0.897523,0.412304
0.00340948,0.411929,0.642958
0.184387,0.492579,0.891392
0.0662579,0.871585,0.763324
-0.0546356,0.662342,0.592332
-0.431974,0.699698,0.780434
-0.365521,0.484607,0.349395
-0.211382,0.367842,0.504018
-0.0272989,0.320537,0.401869
-0.00204106,0.268054,0.189871
-0.0783736,0.329116,0.124169
-0.094889,0.643854,0.119161
-0.163692,0.233963,0.102322
0.268473,0.0609126,0.133053
0.276854,0.158204,0.175927
0.457431,0.103581,-0.0202452
0.527682,0.179923,0.0491654
0.246204,0.368348,-0.277
0.478668,0.00822723,-0.238161
0.535721,0.226782,-0.423573
0.503369,0.111497,-0.0309059
0.481836,0.167332,0.0422422
0.489258,0.430529,0.00173532
0.368339,0.314315,-0.398016
0.507858,0.180309,-0.141592
0.410008,0.00950329,-0.0768119
0.410114,-0.0315164,-0.0719023
0.458386,-0.170823,-0.253318
0.809033,-0.0734282,-0.169168
0.858725,0.153312,-0.246706
0.827658,0.25862,-0.347339
1.03491,0.130946,-0.330205
0.891951,0.00880479,-0.37572
0.970913,0.16086,-0.397643
0.689409,0.219232,-0.0736969
1.04135,0.0109736,-0.541173
1.01056,0.255064,-0.335257
0.663915,0.186311,-0.081462
0.752335,-0.0556403,-0.0758903
0.971682,0.0297645,0.0260831
1.10665,0.00494931,0.0605432
1.04917,0.121834,0.294672
0.557386,0.224714,0.264946
0.52562,-0.228422,0.28132
0.422251,-0.164102,0.285189
0.26936,-0.10231,0.410381
0.0608961,-0.161862,0.392683
0.113219,0.0182081,0.213097
0.212244,0.0560897,0.548337
0.108594,0.463602,0.446308
0.442849,0.128419,0.533656
0.210762,0.195419,0.338685
0.0789318,0.278018,0.591015
0.142094,0.461805,0.646369
0.3571,0.487911,0.946194
-0.0289066,0.268239,1.04903
-0.24509,0.311253,1.02399
-0.0717286,0.463796,0.856323
0.0446376,0.345099,1.23035
0.017477,0.569654,0.979337
